month	Coronavirus 229E	Coronavirus NL63	Coronavirus HKU1/OC43	all
0	0.004105090311986864	0.015268428829420456	0.028601583113456463	0.01796268932397488
1	0.010464916795333677	0.025385934819897083	0.016378244746600743	0.017222820236813777
2	0.016522988505747127	0.01849524151553241	0.01110171283569465	0.014566642388929352
3	0.013528256600480034	0.01068935427574171	0.009107234479220112	0.010729234215645818
4	0.008339465293107678	0.006377238165317636	0.008861127251597907	0.00804628275036574
5	0.004715672676837725	0.0024965325936199723	0.009612251547735418	0.006367995205274198
6	0.0011045655375552283	0.0007363770250368188	0.00526085050416484	0.002901741044626776
7	0.001794043774668102	0.001794043774668102	0.0019197952218430034	0.0018514909374390957
8	0.000572737686139748	0.000572737686139748	0.003550896178559351	0.001938285005427198
9	0.0022102161100196463	0.0007367387033398821	0.004542124542124542	0.0028726033803193264
10	0.0011636025133814289	0.003489995346672871	0.01681547619047619	0.008684296441397323
11	0.0009930486593843098	0.010325655281969817	0.04398148148148148	0.02235669860480753
